"timestamp","title","price","market","surface","location","remote_support","lighting","advertiser_type","description","no_of_rooms","form_of_property","url","is_for_sale","posting_id"
"2024-10-05","2 pokoje|Komandorska|inwestycyjne|do negocjacji","549000","[""market"",""secondary""]","41.8","ul. Komandorska, Borek, Wrocław, dolnośląskie",,,"agency","Wyłączny Opiekun Oferty: Magdalena Kowalczuk tel. 602 101 602TYLKO W SDP NIERUCHOMOŚCI!IDEALNE MIESZKANIE DLA INWESTORA!2-pokojowe mieszkanie o metrażu 41,8 m2 w wieżowcu z windą, położonym w bardzo atrakcyjnej lokalizacji, w centrum Wrocławia. Doskonała komunikacja: przystanki tramwajowe oraz autobusowe. Otoczenie nieruchomości: Nieruchomość położona na południu, na osiedlu Powstańców ŚląskichW otoczeniu: - centrum handlowe Sky Tower, Wroclavia- dworzec PKP oraz PKS - uczelnie, szkoły - mnogość sklepów spożywczych oraz supermarketów - restauracje i lokale usługowe- przy bloku siłownia plenerowa oraz plac zabawUkład pomieszczeń: - pokój 15,25 m2 - pokój 11,23 m2- osobna kuchnia 7,13 m2- łazienka 2,74 m2 - WC 1,13 m2- przedpokój 4,18 m2- piwnica 4 m2Atuty - mieszkanie jasne, dobrze nasłonecznione- mieszkanie dostępne od zaraz- lokalizacja w centrum miasta - układ mieszkania- cisza i spokój- blisko parki oraz centra handlowe - świetna lokalizacja dla studentów Najważniejsze informacje:  - ogrzewanie miejskie - miejsca parkingowe na wspólnym parkingu za szlabanemOPŁATY: Miesięczny czynsz wynosi 600 zł (1 osoba)Rekomendacja Specjalisty SDP Nieruchomości: Ze względu na lokalizację, tę nieruchomość szczególnie polecam zakupić w celach inwestycyjnych. Świetna komunikacja oraz bliskość uczelni wyższych będą dużym atutem dla przyszłych studentów. Mieszkanie sprawdzi się również jako inwestycja na start dla młodych ludzi lub osób ceniących sobie życie w centrum miasta. Niedostateczne środki? To nie problem: Pomagamy w uzyskaniu finansowania na tę i inne nieruchomości. Zadzwoń i zapytaj o szczegóły. Zapraszam na bezpłatną prezentację! Opiekun nieruchomości: Magdalena Kowalczuk telefon 602 101 602",2,,"https://www.otodom.pl/pl/oferta/2-pokoje-komandorska-inwestycyjne-do-negocjacji-ID4r2w7",true,"4r2w7"
"2026-01-07","3-pokojowe mieszkanie, 64,5 m2, blisko Olsztyna","410000","[""market"",""secondary""]","64","Unieszewo, olsztyński, warmińsko-mazurskie",,,"private","Na sprzedaż oferujemy mieszkanie o powierzchni 64,5 m2 wraz z przynależną do lokalu piwnicą o powierzchni 10,23 m2 oraz balkonem.Mieszkanie składa się z 3 pokoi, kuchni, łazienki i WC. W cenie: AGD kuchenne (lodówka, zmywarka, piekarnik, mikrofalówka firmy Bosh, płyta firmy Whirpool), zabudowa meblowa w przedpokojach i w jednym z pokojów.Mieszkanie po generalnym remoncie, wewnętrze, ciepłe na 2 piętrze budynku. Blok po termomodernizacji (nowa elewacja, pompy ciepła, fotowoltaika).Opłaty około 1100 zł za 4 osoby (w tej kwocie czynsz, woda, śmieci).Istnieje możliwość dokupienia garażu.Miejscowość bardzo dobrze skomunikowana z Olsztynem oddalonym o 12 km. Przystanek autobusowy przy bloku, do dworca PKP 350 m.Cicha i spokojna okolica. W pobliżu szkoła, sklep.Bez pośredników.Zapraszamy do kontaktu.",3,"spółdzielcze wł. prawo do lokalu","https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64-5-m2-blisko-olsztyna-ID4yWta",true,"4yWta"
"2026-01-07","Piękne mieszkanie w Katowicach 1 najemca","2300",,"39","ul. Mikołowska, Brynów, Katowice, śląskie",,,"private","Witam.Zachęcam do wynajmu pięknego mieszkania w Katowicach przy ul . Mickiewicza 119Mieszkanie świeżo po remoncie generalnym . Pięknie urządzone ( nie po taniości )Umowa na rok .Zainteresowanych proszę o tel.",2,,"https://www.otodom.pl/pl/oferta/piekne-mieszkanie-w-katowicach-1-najemca-ID4zuRe",false,"4zuRe"
"2023-09-04","3-pokojowe mieszkanie 63m2 + balkon Bezpośrednio",,,"63.17","ul. Grzegórzecka 77, Grzegórzki, Grzegórzki, Kraków, małopolskie",,,,"3-pokojowe mieszkanie numer F/099/M  na parterze w budynku F w Inwestycji Grzegórzecka 77 Dewelopera DEVELIABulwar Kurlandzki (6 minut spacerem)Park Dąbie (16 minut spacerem)Przystanek tramwajowy (5 minut spacerem)Biedronka (3 minuty spacerem)Galeria Kazimierz, Cinema City (13 minut spacerem)Krakowski Teatr Variété (2 minuty spacerem)Kazimierz (20 minut spacerem), Stare Miasto (25 minut)Grzegórzecka 77 - poznaj inwestycjęInwestycja Grzegórzecka 77 zostanie zrealizowana w kilku etapach.Osiedle Grzegórzecka 77 wyróżnia się kaskadową zabudową, otoczoną pięknie zaprojektowaną zielenią, co stanie się charakterystyczną cechą inwestycji. Warto podkreślić, że do mieszkań na wyższych kondygnacjach przynależą będą duże balkony i tarasy, a do lokali na parterze przypisane są ogródki. Przestrzenie wspólne między budynkami zostaną urozmaicone alejkami spacerowymi, zróżnicowaną roślinnością i placami zabaw. W garażu podziemnym znajdować się będą miejsca parkingowe oraz komórki lokatorskie, a budynek zostanie wyposażony w cichobieżne windy. Dodatkowo, dla wygody mieszkańców, zainstalowane zostaną stacje ładowania samochodów elektrycznych.W ramach najnowszego, VIII etapu inwestycji, który został niedawno wprowadzony do oferty, powstanie 80 mieszkań z różnorodnymi układami przestrzennymi, zaprojektowanymi z myślą o funkcjonalności i wygodzie przyszłych mieszkańców.Terminy zakończenia:VI etap – grudzień 2023 r.VII etap – maj 2024 r.VIII etap – październik 2024 r.Osiedle Grzegórzecka 77 jest realizowane w samym centrum Krakowa, zaledwie 2 km od Rynku Głównego, dzięki czemu przyszli mieszkańcy będą mieli łatwy dostęp do rozwiniętej infrastruktury handlowej, usługowej i edukacyjnej w dzielnicy Śródmieście. Dodatkowo, w pobliżu osiedla znajdują się tereny zielone, takie jak Bulwary Wiślane, które stanowią idealne miejsce do aktywnego wypoczynku na świeżym powietrzu. Lokalizacja inwestycji zapewnia także wygodny dostęp do różnych środków transportu publicznego, w tym autobusów i tramwajów, które umożliwiają szybkie i wygodne przemieszczanie się po całym mieście, a także do ważnego węzła drogowego w Krakowie – Ronda Grzegórzeckiego. Osiedle Grzegórzecka 77 to doskonały wybór dla osób poszukujących dogodnej lokalizacji do mieszkania zarówno na co dzień, jak i w celach inwestycyjnych.Grzegórzecka 77 - lokalizacjaGrzegórzki Wschód, ul. Grzegórzecka 771,7 km do centrum6 min. spacerem do przystanku tramwajowego7 min. spacerem do przystanku autobusowegodojazd do centrum: 13 min samochodemIstotne punkty w okolicy inwestycjiRestauracja (124 m, 2 minuty spacerem)Kawiarnia (284 m, 4 minuty spacerem)Sklep: Biedronka (283 m, 4 minuty spacerem)Lekarz (319 m, 4 minuty spacerem)Piekarnia (428 m, 6 minut spacerem)Przystanek tramwajowy (445 m, 6 minut spacerem)Apteka (488 m, 7 minut spacerem)Przystanek autobusowy (513 m, 7 minut spacerem)Żłobek (572 m, 8 minut spacerem)Poczta (596 m, 8 minut spacerem)Weterynarz (675 m, 9 minut spacerem)Przedszkole (753 m, 10 minut spacerem)Siłownia (864 m, 11 minut spacerem)Szkoła Podstawowa (863 m, 11 minut spacerem)Oferta pochodzi z serwisu obido",3,"pełna własność","https://otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-balkon-bezposrednio-ID4foGN",true,"4foGN"
"2024-01-17","1/2 domu w Nowym Lesie blisko Głuchołaz","129000","[""market"",""secondary""]","92","Nowy Las, Głuchołazy, nyski, opolskie",,,"agency","Oferujemy Państwu do sprzedaży lokal mieszkalny o powierzchni 92,50m2 usytuowany na pierwszym piętrze w domu dwurodzinnym znajdującym się w Nowym Lesie. Nieruchomość posiada osobne wejście i klatkę schodową oraz własny grunt przed budynkiem i z boku budynku o powierzchni 7arów. Dodatkowo przy nieruchomości znajduje się murowane pomieszczenie gospodarcze.  Mieszkanie rozkładem przypominające literę „C” składa się z trzech sypialni, kuchni, łazienki, przedpokoju i toalety. Wszystkie pomieszczenia posiadają okna – mieszkanie jasne i słoneczne, a atutem położenia budynku jest widok z okien oraz działki rozpościerający się na panoramę gór. Mieszkanie dla wielbicieli drewnianych akcentów Dodatkowo w pobliżu przestanek autobusowy relacji -Nysa-Głuchołazy oraz Ośrodek Zdrowia.  Budynek jest z roku 1905, ogrodzony położony przy drodze asfaltowej,  na dachu nowa blachodachówka. Do mieszkania przynależy część powierzchni strychu, która może zostać wykorzystana na dodatkowe pomieszczenia.  Media takie jak : woda, energia i kanalizacja z sieci. Obecnie podatek od nieruchomości i gruntu wynosi rocznie 600zł.
Cena sprzedaży mieszkania 129 000zł do negocjacji 
 
Podane wyżej informacje zostały pozyskane od właściciela nieruchomości i nie stanowią oferty w rozumieniu art. 66 i nast. K.c.
Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego. Klientowi przysługuje prawo do wglądu do swoich danych osobowych. Klient wyraża zgodę na przetwarzanie danych osobowych zgodnie z przepisami ustawy z dnia 29 sierpnia 1997 roku o ochronie danych osobowych  Dz.U.Nr. 133 poz. 883. 


zapraszamy do kontaktu

Biuro Nieruchomości LOKUM Danuta Polańska
ul Plac Basztowy 2
48-340 Głuchołazy
tel 573 393 444
 ",4,"pełna własność","https://www.otodom.pl/pl/oferta/1-2-domu-w-nowym-lesie-blisko-glucholaz-ID4n44B",true,"4n44B"
"2024-01-17","Dom w malowniczej lokalizacji - 0 % prowizji","820000","[""market"",""secondary""]","106","Brzesko, Brzesko, brzeski, małopolskie",,,"private","Marzysz o życiu w malowniczym miejscu? Ta oferta spełni Twoje oczekiwania!

Lokalizacja: Miejscowość Dębno k. Brzeska

Tuż po szybkim zjeździe z autostrady, zjeżdżasz z głównej drogi nr 94, w ulicę, przy której jest dom. Po drodze mijasz piękną alejkę brzóz.
Otoczenie zapewnia spokój i zieleń, jednocześnie zapewniając błyskawiczny dostęp do głównych dróg, sklepów oraz stacji paliw. Tutaj nie musisz dokonywać kompromisu między infrastrukturą a harmonią z naturą - znajdziesz oba te elementy.

Charakterystyka Domu:

Powierzchnia 106 m2
Parter: Kuchnia z częścią jadalni, łazienka, przedpokój oraz salon z wyjściem na taras
Piętro: 3 pokoje (główna sypialnia z garderobą, dwa mniejsze pokoje) oraz łazienka
Balkon w głównej sypialni
Dodatkowa piwnica
Strych


Udogodnienia:

Ogrzewanie na eko groszek
Własna woda
Kanalizacja
(możliwość podłączenia do gazu i wody z sieci - media wzdłuż granicy działki)

Dom cechuje się niezwykle niskimi kosztami utrzymania, co w dzisiejszych czasach stanowi znaczący atut.


Działka:

Powierzchnia 15 arów
Wyposażona w miejsce na grill, ognisko, blaszany garaż oraz pergolę/wiatę (na dwa auta)
Przestrzeń idealna dla miłośników czterech łap, gdzie Twoje pieski będą biegać z radością.

Sąsiedztwo:

Sąsiedzi obecni, jednak zachowujący prywatność (nikt nie patrzy w okna)

Atrakcje w Okolicy:

Sady jabłkowe
Stadnina koni
Restauracje
Zamek

Ta oferta to unikatowa okazja na życie w harmonii z przyrodą, bez rezygnacji z wygody i bliskości miejskich udogodnień. Skontaktuj się, aby umówić się na oglądanie.

Kupujący nie płaci prowizji",4,,"https://www.otodom.pl/pl/oferta/dom-w-malowniczej-lokalizacji-0-prowizji-ID4nzJ2",true,"4nzJ2"
"2024-01-17","Dom, 189,40 m², Zelków","1399000","[""market"",""primary""]","189.4","Zelków, Zabierzów, krakowski, małopolskie",,,"agency","0% PROWIZJI OD KUPUJĄCEGO!!!BRAK PODATKU 2% PCC Do sprzedania dom wolnostojący w miejscowości Zelków, gm. Zabierzów zlokalizowany wśród domów jednorodzinnych. Dom o pow. po podłodze 189,4 m2, pow. użytkowa 172,0 m2, na działce o pow. około 6,6 ara.Budynek zbudowany według projektu &quot;Dom w Balsamowcach 6&quot; - firmy ARCHON.Rozkład pomieszczeń:Parter: wiatrołap (7,91 m2), łazienka (4,23 m2), salon + jadalnia (29,70 m2), kuchnia (9,53 m2), spiżarnia (2,16 m2), pokój (10,85 m2), kotłownia (7,22 m2), garaż (19,65 m2). Poddasze: schody (3,83 m2), korytarz (12,61 m2), pokój (12,62 m2), garderoba (3,86 m2), pokój (13,05 m2), łazienka (6,23 m2), pokój (13,61 m2), pralnia (4,84 m2), pokój (10,2 m2), garderoba (5,38 m2)Dom sprzedawany w stanie deweloperskim obejmującym:ławy fundamentowe żelbetowe,ściany fundamentowe żelbetowe + izolacja termiczna i izolacja przeciwwilgociowa,ściany zewnętrzne z pustaka ceramicznego POROTHERM o gr. 25cm,ocieplenie zewnętrzne styropianem o gr. 20cm + tynk cienkowarstwowy (kolor szary, grafit. biały)więźba dachowa drewniana,strop żelbetowy, monolityczny,schody żelbetowe,dach kryty płaską dachówka ceramiczną, kolor antracyt,podbitka okapów w kolorze obróbki blacharskiej,wyłaz dachowy, obróbki blacharskie z blachy aluminiowej,okna dachowe drewniane, trzyszybowe, dach ocieplony wełną mineralną o gr. 30cm,rynny stalowe,ściany wewnętrzne działowe z pustaka ceramicznego o gr. 11,5cmokna PVC trzyszybowe, kolor zewnętrzny antracyt, od wewnątrz białydrzwi wejściowe drewniane, wysokiej klasyparapety zewnętrzne metalowe, kolor grafitowy,parapety wewnętrzne - KONGLOMERAT,tynki wewnętrzne gipsowe,na poddaszu (sufity i skosy) płyty gipsowo-kartonowe na metalowym ruszcie,wylewki cementowe na warstwie styropianu i folii polietylenowejocieplenie płyty na parterze styropianem o gr. 15cm,podłoga na strychu wykończona płytami OSB,drewniany, składany właz na strych,instalacja elektryczna wewnętrzna, zamontowane gniazdka i wyłączniki,instalacja elektryczna zewnętrzna, wykonane obwody z możliwością podłączenia oświetlenia zewn., zamontowane wyłączniki i gniazdka,instalacja alarmowa z pełnym podłączonym wyposażeniem (czujniki, centrala, szyfratory, syrena itp) z możliwością powiadamiania na komórkę właściciela i agencji ochrony,rozprowadzona instalacja TV w budynku, doprowadzona do jednego punku centralnego na strychu z każdego pokoju, zamontowane gniazdka,instalacja wideofon - doprowadzona do punkt na parterze i poddaszu,instalacja internetowa zamontowane gniazdka w budynku, doprowadzona instalacja do jednego punku centralnego (gniazdko internetowe w jednym pokoju na piętrze, w gabinecie i w salonie)zamontowana na dachu instalacja odgromowa,instalacja wodna i kanalizacyjna,instalacja C.O. - pompa ciepła​ogrzewanie podłogowe w całym domu, sterowanie ogrzewaniem- pogodowe z sondą zewnętrzną,dodatkowo w łazienkach grzejniki drabinkowe,rekuperacja z zamontowanymi urządzeniamiogrodzenie z paneli ogrodzeniowych - kolor grafit z podmurówką betonowąbrama do posesji przesuwna, stalowa z pionowym wypełnieniem, z możliwością podłączenia napędu do otwierania elektrycznego pilotem oraz z domofonufurtka dopasowana wzorem do bramy przesuwnej, z możliwością otwierania z domofonu,dojście do domu i podjazd do garażu wybrukowane kostką brukową,droga dojazdowa utwardzona kruszywem,Rozpoczęcie prac Budowlanych III KW 2023Zakończenie prac: III kw. 2024 r.Media: woda, gaz, prąd, szambo (kanalizacja na etapie projektowana przez PUK Zabierzów, być może będzie wykonana przed odbiorem budynków)Nowoczesny dom, zlokalizowany wśród nowych budynków jednorodzinnych, wybudowany z najwyższej klasy materiałów. Dojazd do działki drogą gminną asfaltową, a następnie drogą prywatną (współwłasność). Nieruchomość położona  na wzniesieniu, na widokowej działce. Dom znajduje się  w spokojnej części miejscowości, wokół luźna zabudowa jednorodzinna oraz liczne tereny niezabudowane. W pobliżu znajdują się liczne tereny rekreacyjne takie jak: Dolina Kluczwody, Dolina Bolechowicka oraz liczne szlaki rowerowe. Nieruchomość posiada dużą działkę w pełni nasłonecznioną. W pobliżu nieruchomości zlokalizowany jest przystanek MPK, szkoła, przedszkole, sklep. Idealne miejsce dla osób ceniących sobie ciszę i spokój, z dala od miejskiego zgiełku.Cena 1.399.000 zł brutto. Kupujący nie płaci 2% podatku PCC. Serdecznie polecamy i zachęcamy do bezpłatnej prezentacji !!! Więcej podobnych ofert na naszej stronie  Kontakt do opiekuna oferty: 500-702-305 Michał Sibiga. Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Mieszko Pacanowski (licencja nr: 21215) ",5,,"https://www.otodom.pl/pl/oferta/dom-189-40-m-zelkow-ID4oFgi",true,"4oFgi"
"2024-01-17","Mieszkanie, 33,81 m², Żarów","180000","[""market"",""secondary""]","33.81","Żarów, Żarów, świdnicki, dolnośląskie",,,"agency","Do sprzedania dwupokojowe mieszkanie znajdujące się na drugim piętrze w kamienicy w Żarowie.Mieszkanie składa się z;- przejściowej kuchni- przejściowego pokoju- pokoju - łazienki z toaletąMieszkanie ogrzewane piecem kaflowym, choć istnieje możliwość zrobienia ogrzewania elektrycznego, bądź gazowego.Ciepła woda z bojlera. Okna z PCV umiejscowione od strony wschodniej z widokiem na podwórko.Dodatkowo do mieszkania przynależy piwnica.Stan mieszkania widoczny na zdjęciach.Budynek z cegły. W kamienicy wymieniono dach, klatkę schodową pomalowano i wymieniono  instalacje .W budynku wspólnota mieszkaniowa. Miesięczny czynsz wynosi 113zł bez wody i śmieci.Mieszkanie dostępne od zaraz. Idealne pod inwestycję.Zapraszam na bezpłatną prezentację!Kontakt: Beata Hytkowska, tel. 727909821, mail: Współpraca z RenomaHome to gwarancja:- profesjonalnej obsługi przez licencjonowanych doradców ds. nieruchomości,- pomocy w uzyskaniu kredytu hipotecznego i gotówkowego,- opieki prawnej, notarialnej, rzeczoznawcy majątkowego,- rzetelnego przekazania nieruchomości- otrzymania atrakcyjnych zniżek na materiały wykończeniowe aż 10%Serdecznie polecam!Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Justyna Żemło (licencja nr: 21154)-Renomahomeul. Świętej Małgorzaty 1-2ŚwidnicaTel. 500 803 200E-mail: ",2,,"https://www.otodom.pl/pl/oferta/mieszkanie-33-81-m-zarow-ID4oCPe",true,"4oCPe"
"2023-09-04",,,,,,,,,,,,"https://otodom.pl/pl/oferta/3-pokoje-ogrzewanie-miejskie-do-wynajecia-ID4m4NN",false,
"2023-09-04","3-pokojowe mieszkanie 69m2 + balkon",,,"69.47","ul. Brneńska, Łacina, Nowe Miasto, Poznań, wielkopolskie",,,,"3-pokojowe mieszkanie numer 3.2.A.37  na 2. piętrze w budynku Tide w Inwestycji Malta Point Dewelopera NexityPark na Osiedlu Oświecenia (10 minut spacerem)Park Traszki Ratajskie (15 minut spacerem)Przystanek autobusowy (1 minuta spacerem)Przystanek tramwajowy (9 minut spacerem)CH Posnania (2 minuty spacerem)Centrum miasta (10 minut samochodem)Dworzec Poznań Główny (15 minut samochodem)Malta Point - poznaj inwestycjęMalta Point to pierwsza poznańska inwestycja Nexity, zlokalizowana przy ulicy Brneńskiej. Osiedle obejmie łącznie 5 budynków.

W pierwszym etapie powstanie pięciopiętrowy budynek z podziemnym parkingiem i komórkami lokatorskimi. W obiekcie znajdzie się 98 mieszkań z dużymi oknami i przestronnymi balkonami. W drugiej etapie, w budynkach Tide i Wave, powstanie łącznie 155 mieszkań.

Mieszkania w Malta Point będą miały różne powierzchnie i funkcjonalne rozwiązania. W pierwszym etapie będą dostępne mieszkania jedno-, dwu-, trzy- i czteropokojowe, a w drugim etapie dodatkowo pięciopokojowe do 110 mkw.

Pomiędzy budynkami Wave i Tide powstanie zielone patio z małą architekturą, taką jak stojaki rowerowe, ławki i plac zabaw. Dodatkowo w nowym etapie zaplanowano zielone dachy, które wpłyną pozytywnie na jakość powietrza i ograniczą nagrzewanie budynków.

W kolejnym etapie powstaną dwa pięciopiętrowe budynki Zephir i Horizon, które obejmą 
157 mieszkań, w tym kawalerki i czteropokojowe mieszkania z ogródkami i balkonami. Na terenie osiedla znajdzie się 157 miejsc parkingowych dla rowerów i podziemny parking.Malta Point - lokalizacjaRataje-Łacina, ul. Brneńska2,4 km do centrum5 min. spacerem do przystanku autobusowego10 min. spacerem do przystanku tramwajowegodojazd do centrum: 12 min samochodemIstotne punkty w okolicy inwestycjiApteka (34 m, 1 minuta spacerem)Restauracja (107 m, 2 minuty spacerem)Siłownia (248 m, 4 minuty spacerem)Przystanek autobusowy (345 m, 5 minut spacerem)Sklep: Biedronka (386 m, 5 minut spacerem)Basen (530 m, 7 minut spacerem)Be Happy Sweet &Art Illusion Museum (683 m, 9 minut spacerem)Szkoła Wyższa (774 m, 10 minut spacerem)Przystanek tramwajowy (780 m, 10 minut spacerem)Wystawa pająków Poznań (818 m, 10 minut spacerem)Kino (853 m, 11 minut spacerem)Przedszkole (852 m, 11 minut spacerem)Park (855 m, 11 minut spacerem)Posnania (960 m, 12 minut spacerem)Sklep: Carrefour (973 m, 12 minut spacerem)Szkoła Podstawowa (993 m, 13 minut spacerem)Lekarz (998 m, 13 minut spacerem)Oferta pochodzi z serwisu obido",3,"pełna własność","https://otodom.pl/pl/oferta/3-pokojowe-mieszkanie-69m2-balkon-ID4lhv3",true,"4lhv3"
